82							
3	5	8	8	1.09	0.009347	0	b
3	5	3	3	1.01	0.008813	0	b
3	5	2	2	1.045	0.009047	0	b
3	5	5	5	1.019678	0.008878	0	b
3	5	7	7	1.057065	0.009127	0	b
3	5	4	4	1.017119	0.008861	0	b
3	5	10	10	1.04312	0.009034	0	b
3	5	11	11	1.052942	0.0091	0	b
3	5	9	9	1.046381	0.009056	0	b
3	5	12	12	1.056284	0.009122	0	b
3	5	6	6	1.07	0.009213	0	b
3	5	13	13	1.049192	0.009075	0	b
3	5	14	14	1.029524	0.008943	0	b
3	5	1	1	1.06	0.009147	0	b
3	1	8	8	0	0.00208	0	b
3	2	8	8	0.203797	0.003439	0	b
3	1	3	3	-0.942	0.00836	0	b
3	2	3	3	0.052916	0.002433	0	b
3	1	2	2	0.183	0.0033	0	b
3	2	2	2	0.309488	0.004143	0	b
3	1	5	5	-0.076	0.002587	0	b
3	2	5	5	-0.016	0.002187	0	b
3	1	7	7	0	0.00208	0	b
3	2	7	7	0	0.00208	0	b
3	1	4	4	-0.478	0.005267	0	b
3	2	4	4	0.039	0.00234	0	b
3	1	10	10	-0.09	0.00268	0	b
3	2	10	10	-0.058	0.002467	0	b
3	1	11	11	-0.035	0.002313	0	b
3	2	11	11	-0.018	0.0022	0	b
3	1	9	9	-0.295	0.004047	0	b
3	2	9	9	-0.166	0.003187	0	b
3	1	12	12	-0.061	0.002487	0	b
3	2	12	12	-0.016	0.002187	0	b
3	1	6	6	-0.112	0.002827	0	b
3	2	6	6	0.105888	0.002786	0	b
3	1	13	13	-0.135	0.00298	0	b
3	2	13	13	-0.058	0.002467	0	b
3	1	14	14	-0.149	0.003073	0	b
3	2	14	14	-0.05	0.002413	0	b
2	1	1	2	1.569542	0.012544	0	b
2	2	1	2	-0.20421	0.003441	0	b
2	1	2	3	0.732991	0.006967	0	b
2	2	2	3	0.035542	0.002317	0	b
2	1	2	4	0.561967	0.005826	0	b
2	2	2	4	-0.014325	0.002176	0	b
2	1	1	5	0.754932	0.007113	0	b
2	2	1	5	0.037803	0.002332	0	b
2	1	2	5	0.414568	0.004844	0	b
2	2	2	5	0.011221	0.002155	0	b
2	1	3	4	-0.23228	0.003629	0	b
2	2	3	4	0.036671	0.002324	0	b
2	1	4	5	-0.617584	0.006197	0	b
2	2	4	5	0.136292	0.002989	0	b
1	1	5	6	0.43411	0.004974	0	b
1	2	5	6	0.114204	0.002841	0	b
1	1	4	7	0.288991	0.004007	0	b
1	2	4	7	-0.072871	0.002566	0	b
2	1	7	8	0	0.00208	0	b
2	2	7	8	-0.19764	0.003398	0	b
1	1	4	9	0.159735	0.003145	0	b
1	2	4	9	0.0127	0.002165	0	b
2	1	7	9	0.288991	0.004007	0	b
2	2	7	9	0.106813	0.002792	0	b
2	1	9	10	0.058642	0.002471	0	b
2	2	9	10	0.018411	0.002203	0	b
2	1	6	11	0.067335	0.002529	0	b
2	2	6	11	0.059744	0.002478	0	b
2	1	6	12	0.090416	0.002683	0	b
2	2	6	12	0.023228	0.002235	0	b
2	1	6	13	0.164359	0.003176	0	b
2	2	6	13	0.08828	0.002669	0	b
2	1	9	14	0.095084	0.002714	0	b
2	2	9	14	0.021443	0.002223	0	b
2	1	10	11	-0.031468	0.00229	0	b
2	2	10	11	-0.03988	0.002346	0	b
2	1	12	13	0.02848	0.00227	0	b
2	2	12	13	0.006042	0.00212	0	b
2	1	13	14	0.055661	0.002451	0	b
2	2	13	14	0.03221	0.002295	0	b
4	1	9	9	0	0.00208	0	b
4	2	9	9	-0.109491	0.00281	0	b
