409
266	270	0	0	0.0008	0.00348	0	1	a
271	272	0	0	0.05558	0.24666	0	1	a
271	268	0	0	0.05559	0.153361	0	1	a
273	267	0	0	0.03811	0.128531	0	1	a
267	274	0	0	0.0537	0.07026	0	1	a
274	276	0	0	1.1e-05	0.95278	0	1	a
272	268	0	0	0.0558	0.24666	0	1	a
268	291	0	0	0.07378	0.06352	0	1	a
291	269	0	0	0.03832	0.02894	0	1	a
273	299	0	0	0.23552	0.99036	0	1	a
1	5	0	0	0.001	0.006	0	1	a
2	6	0	0	0.001	0.009	0	1	a
2	8	0	0	0.006	0.027	0.054	1	a
3	7	0	0	0	0.003	0	1	a
3	18	0	0	0.008	0.069	0.139	1	a
3	129	0	0	0.001	0.007	0	1	a
4	16	0	0	0.002	0.019	1.127	1	a
5	9	0	0	0.006	0.029	0.018	1	a
7	12	0	0	0.001	0.009	0.07	1	a
7	110	0	0	0.001	0.007	0.014	1	a
8	11	0	0	0.013	0.0595	0.033	1	a
8	14	0	0	0.013	0.042	0.081	1	a
9	11	0	0	0.006	0.027	0.013	1	a
11	13	0	0	0.008	0.034	0.018	1	a
12	20	0	0	0.002	0.015	0.118	1	a
13	19	0	0	0.006	0.034	0.016	1	a
14	15	0	0	0.014	0.042	0.097	1	a
15	31	0	0	0.065	0.248	0.121	1	a
15	74	0	0	0.099	0.248	0.035	1	a
15	75	0	0	0.096	0.363	0.048	1	a
16	36	0	0	0.002	0.022	1.28	1	a
18	20	0	0	0.002	0.018	0.036	1	a
18	72	0	0	0.013	0.08	0.151	1	a
19	21	0	0	0.016	0.033	0.015	1	a
19	26	0	0	0.069	0.186	0.098	1	a
20	23	0	0	0.004	0.034	0.28	1	a
21	22	0	0	0.052	0.111	0.05	1	a
22	24	0	0	0.019	0.039	0.018	1	a
23	231	0	0	0.007	0.068	0.134	1	a
24	25	0	0	0.036	0.071	0.034	1	a
25	26	0	0	0.045	0.12	0.065	1	a
25	232	0	0	0.043	0.13	0.014	1	a
27	28	0	0	0	0.063	0	1	a
27	32	0	0	0.0025	0.012	0.013	1	a
27	34	0	0	0.006	0.029	0.02	1	a
27	35	0	0	0.007	0.043	0.026	1	a
28	36	0	0	0.001	0.008	0.042	1	a
29	60	0	0	0.012	0.06	0.008	1	a
29	63	0	0	0.006	0.014	0.002	1	a
29	64	0	0	0.01	0.029	0.003	1	a
30	73	0	0	0.004	0.027	0.043	1	a
31	32	0	0	0.008	0.047	0.008	1	a
31	34	0	0	0.022	0.064	0.007	1	a
31	35	0	0	0.01	0.036	0.02	1	a
31	43	0	0	0.017	0.081	0.048	1	a
31	74	0	0	0.102	0.254	0.033	1	a
